text,annotation task,number of annotations,annotations,annotators,lang,hard_label,split,soft_label.0,soft_label.1,other_info.domain
<url> pls sign this and give justice to George Floyd!! #JusticeForGeorgeFlyod #BlackLiveMatter,offensiveness detection,5,"0,0,0,0,0","Ann5,Ann185,Ann755,Ann474,Ann455",en,0,train,1.0,0.0,BLM
"<user> <user> <user> You can't even spell ""Head"" you're soo dump",offensiveness detection,5,"1,1,1,1,1","Ann805,Ann88,Ann104,Ann149,Ann730",en,1,train,0.0,1.0,Elections2020
"It’s not enough for you to say ""I’m not racist."" You must be anti-racist.  To be silent is to silently allow racism to exist. #BlackLivesMatter",offensiveness detection,5,"0,0,0,0,0","Ann616,Ann451,Ann245,Ann413,Ann353",en,0,train,1.0,0.0,BLM
"<user> <user> <user> <user> <user> 54 days on a ventilator, 6 weeks in a coma. <url>  But hey, this guy got shot at once. Wasn’t even hit!",offensiveness detection,5,"0,0,0,1,0","Ann200,Ann316,Ann514,Ann500,Ann86",en,0,train,0.8,0.2,Covid-19
<user> I miss life before covid but I am not sure what to do with my life and I have no idea what I am doing.  Holy shit.,offensiveness detection,5,"0,1,1,1,1","Ann779,Ann200,Ann514,Ann334,Ann232",en,1,train,0.2,0.8,Covid-19
"""""""The prime minister and the chief medical officer warned Australians to expect an uptick in infections once restrictions were eased."""" <url>  """"Sacrificed for the economy"""" I'm sure everyone wants that put on their loved ones grave stone 🤔🙄""",offensiveness detection,5,"0,1,0,0,0","Ann334,Ann240,Ann581,Ann779,Ann514",en,0,train,0.8,0.2,Covid-19
<user> <user> <user> I think it's  a bot.  But hey!  We got our point out there!,offensiveness detection,5,"0,0,0,0,0","Ann425,Ann188,Ann81,Ann415,Ann779",en,0,train,1.0,0.0,Elections2020
Dumbest Q ever,offensiveness detection,5,"0,0,0,0,1","Ann402,Ann741,Ann137,Ann169,Ann768",en,0,train,0.8,0.2,Covid-19
George Floyd: Trump ‘generally’ supports ending chokeholds for police <url> #Podcast #podcasts #podcasting #podcaster #podcasters #podcastlife #podcastshow #podcastlove #podcastaddict #podcasthost,offensiveness detection,5,"0,0,0,0,0","Ann812,Ann30,Ann691,Ann29,Ann209",en,0,train,1.0,0.0,BLM
"Backlash against Dem leaders begins, longtime business leaves Minneapolis after being destroyed in riots - TheBlaze  Walz can kiss my ass. He made his bed. Let him lie in it. <url>",offensiveness detection,5,"1,1,0,1,0","Ann306,Ann149,Ann592,Ann787,Ann559",en,1,train,0.4,0.6,BLM
Obama did the square root of diddly squat for Black and middle eastern people while in power.  Kilary murdered and abducted haitian children and organ harvested men women and children.  Enough of the ex presidential virtue signalling as they are all as manipulative as each other,offensiveness detection,5,"0,0,1,1,0","Ann551,Ann582,Ann225,Ann248,Ann512",en,0,train,0.6,0.4,BLM
"<user> <user> <user> <user> Now you just showed you are incapable of unbiased thought.  Trump maybe a lot of things but he's not racist (see NAACP award before running for office).  Incompetent?  Ur opinion not mine. He's done a great job economy, military, foreign relations, taxes, etc",offensiveness detection,5,"0,0,0,0,1","Ann763,Ann517,Ann53,Ann20,Ann779",en,0,train,0.8,0.2,Elections2020
"<user> <user> Goddamn!  I know there is a facility up in La Crescenta that does their own tests - Exer Urgent Care. (It’s where I went for an asthma attack - they did a COVID test as well, same day)",offensiveness detection,5,"0,0,1,1,0","Ann200,Ann208,Ann219,Ann681,Ann768",en,0,train,0.6,0.4,Covid-19
"Well when you explain it like that, I’ll listen! 🤣",offensiveness detection,5,"0,0,0,0,0","Ann149,Ann306,Ann586,Ann419,Ann566",en,0,train,1.0,0.0,BLM
<user> <user> George Floyd robbed a pregnant women with a gun to her stomach,offensiveness detection,5,"0,0,0,0,1","Ann632,Ann443,Ann6,Ann501,Ann708",en,0,train,0.8,0.2,BLM
<user> <user> Dude you aren't lucid you stay in your basement -- can't run a country like that,offensiveness detection,5,"1,1,1,1,1","Ann42,Ann418,Ann20,Ann793,Ann655",en,1,train,0.0,1.0,Elections2020
<user> The #FatAntichrist didn’t disappoint his worshipers.  The rest of us saw exactly who he is.  <url> #VoteHimOut2020,offensiveness detection,5,"0,0,1,1,0","Ann435,Ann763,Ann164,Ann420,Ann721",en,0,train,0.6,0.4,Elections2020
Wish the justice system treated Jeffery Epstein the way they treated George Floyd. #Epstein #FilthyRich,offensiveness detection,5,"0,1,0,0,0","Ann138,Ann571,Ann29,Ann274,Ann292",en,0,train,0.8,0.2,BLM
Why do people like this exist smh   #BlackLivesMatter,offensiveness detection,5,"0,1,0,0,0","Ann264,Ann665,Ann245,Ann292,Ann54",en,0,train,0.8,0.2,BLM
"#BlackLivesMatter period. God’s Laws are also vital 1)YOU SHALL HAVE NO OTHER GODS BEFORE ME 6)THOU SHALT NOT KILL 8)THOU SHALT NOT STEAL. No qualifiers, No yeah buts, PERIOD! Justice is coming for ANYONE who breaks God’s laws; if not in this life then the next. #lovethyneighbor",offensiveness detection,5,"0,0,0,0,0","Ann237,Ann30,Ann582,Ann128,Ann734",en,0,train,1.0,0.0,BLM
Not a lie friends and fam. I watch protests from protesters not the news on tv. CNN pulled out close to midnight. Twitter live feeds went dark around 2:30 AM. Snapchat is also scrubbed. This did not occur on other nights.   I saw lots of people still peacefully protesting at 12.,offensiveness detection,5,"0,0,0,0,0","Ann261,Ann443,Ann338,Ann708,Ann575",en,0,train,1.0,0.0,BLM
"Our entire government is one big joke under this soul, heart, brain lacking baboon.  It’s so sad and so disheartening to read or watch the news each day.  #NotMyPresident #notmygovernment #VoteBlue2020 BETTER CHANGE IS WHAT WE NEED!!",offensiveness detection,5,"1,1,0,0,0","Ann517,Ann500,Ann402,Ann704,Ann718",en,0,train,0.6,0.4,Covid-19
someone tell me who really looks stupid wrong answers only. #BlackLivesMatter #dumbass #racist,offensiveness detection,5,"1,1,0,0,0","Ann5,Ann608,Ann318,Ann237,Ann582",en,0,train,0.6,0.4,BLM
"Wtaf, a farce in three parts, 3/3:",offensiveness detection,5,"1,0,1,0,1","Ann523,Ann402,Ann366,Ann386,Ann397",en,1,train,0.4,0.6,Covid-19
<user> RESPECT!  #BlackLivesMatter <url>,offensiveness detection,5,"0,0,0,0,0","Ann159,Ann125,Ann775,Ann451,Ann439",en,0,train,1.0,0.0,BLM
You all misspelled #blacklivesmatter. Speak up! <user>,offensiveness detection,5,"1,0,0,0,0","Ann364,Ann616,Ann582,Ann755,Ann454",en,0,train,0.8,0.2,BLM
"Please, everyone, WEAR A MASK  WEAR A MASK WEAR A MASK WEAR A MASK WEAR A MASK WEAR A MASK and #votebluebeforewealldie",offensiveness detection,5,"0,0,0,0,0","Ann779,Ann200,Ann232,Ann240,Ann704",en,0,train,1.0,0.0,Covid-19
This needs to trend because itthey have also shot and killed black men since the murder of George Floyd.,offensiveness detection,5,"0,1,0,0,1","Ann632,Ann279,Ann6,Ann274,Ann701",en,0,train,0.6,0.4,BLM
<user> We have access and are not stupid. Every day we see more and more how corrupt <user> and his family are. That’s why we love ❤️ <user> more and more. Get it?That’s what this proud chump deplorable thinks. 😊,offensiveness detection,5,"0,1,1,0,1","Ann42,Ann715,Ann779,Ann573,Ann697",en,1,train,0.4,0.6,Elections2020
What cynical pieces of shit they are,offensiveness detection,5,"1,1,1,1,1","Ann779,Ann200,Ann768,Ann517,Ann514",en,1,train,0.0,1.0,Covid-19
"That's rich. The NFL calls for an ""urgent need for action"" in wake of George Floyd protests. I have one action item for them: make sure someone hires #Kaepernick now.",offensiveness detection,5,"0,0,0,0,0","Ann30,Ann29,Ann209,Ann734,Ann374",en,0,train,1.0,0.0,BLM
<user> <user> Remember when <user> blamed his alcoholic wife’s death on a sober man’s drinking? Remember when his wife’s death caused so much trauma his kids became cocaine addicts? Remember when he wrote laws that unfairly arrest blacks who use cocaine?,offensiveness detection,5,"0,1,0,1,0","Ann266,Ann747,Ann149,Ann104,Ann774",en,0,train,0.6,0.4,Elections2020
<user> Chris Wallace hand holding your candidate and showing his outright bias for the current president didn’t help <user>  Made him look weak and feeble.   Also it being seen (the wire) you were feeding him his answers proves he cannot do the job.  <user>,offensiveness detection,5,"0,0,0,0,0","Ann370,Ann301,Ann697,Ann463,Ann41",en,0,train,1.0,0.0,Elections2020
"Kneegrows suffering from amnesia turn my stomach so bad. Some continental Afropeans be like yea! <user> is winning! yea! <user> is leading. FOOL! the two hitmen represents the ONE party that okayed the bombing of Afrikans in Sudan, Somalia, Libya, etc. STOP clowning🤷🏿‍♂️ <url>",offensiveness detection,5,"1,1,1,1,1","Ann805,Ann88,Ann149,Ann573,Ann728",en,1,train,0.0,1.0,Elections2020
I've seen more police brutality since the murder of George Floyd than I'd seen during my whole life until then.  Don't you think that it's about time to #BanAbusiveCops?  Retweet if you do. <url>,offensiveness detection,5,"0,0,0,0,0","Ann632,Ann245,Ann411,Ann274,Ann735",en,0,train,1.0,0.0,BLM
"So how long have you supported hitler, Skinheads are making a comeback I guess.",offensiveness detection,5,"1,0,1,1,1","Ann577,Ann237,Ann513,Ann70,Ann701",en,1,train,0.2,0.8,BLM
<user> Tbh guys I haven't watched the George Floyd video fully I just saw the cops face and what he was doing and then I bailed cos I find those things traumatic personally but I AM ONE HUNDRED PERCENT AGAINST THAT COPS ACTIONS and fuck that cop a disgrace to all cops Global,offensiveness detection,5,"0,1,1,0,0","Ann149,Ann245,Ann30,Ann225,Ann551",en,0,train,0.6,0.4,BLM
"Please, protesters in USA: GO HOME ! STAY HOME ! STAY SAFE ! Greetings from Germany ! #GeorgeFloydProtests",offensiveness detection,5,"0,0,0,0,0","Ann264,Ann674,Ann209,Ann734,Ann374",en,0,train,1.0,0.0,BLM
"<user> Hell in my city Wylie,Tx there is a protest today. Not only is it for #BlackLivesMatter but or mayor has displayed sexist comments. We are 30 minutes from Dallas. The mayor of Wylie in Collin County is defending his beliefs that only men, and not women, should lead prayer",offensiveness detection,5,"0,0,0,0,0","Ann419,Ann245,Ann447,Ann274,Ann229",en,0,train,1.0,0.0,BLM
<user> Stick it up you’re traitorous corrupt a**,offensiveness detection,5,"1,1,1,1,1","Ann334,Ann118,Ann213,Ann730,Ann362",en,1,train,0.0,1.0,Elections2020
"<user> <user> <user> What a hateful person you are. Will you rest Cuomo the same, so. S he caused so many deaths by putting COVID patients in nursing home instead of the medical ships provided by TRUMP? Ah, you’re a waste of time and air. Obviously you already have evil thoughts.",offensiveness detection,5,"0,1,1,1,0","Ann47,Ann438,Ann10,Ann351,Ann681",en,1,train,0.4,0.6,Covid-19
"<user> The problem is that if foreigners all called Americans racists or Slave owners or Confederates or something, sure it would be offensive, but it’s unfortunately a decent criticism. Stereotyping is bad but uhhhh <url>",offensiveness detection,5,"0,0,0,1,0","Ann200,Ann514,Ann232,Ann240,Ann619",en,0,train,0.8,0.2,Covid-19
Pathetic hit piece taken out on me by failing NYT Sunday by Broadway prodouchebag Bob Boyett. Is NYT so desperate for $$? Has to regurgitate 13 yr old Fake News just to defame me. I thank God every day for a president who’s draining the Fake News cartel swamp bastards. #MAGA,offensiveness detection,5,"1,0,1,0,1","Ann811,Ann334,Ann149,Ann212,Ann779",en,1,train,0.4,0.6,Elections2020
"<user> <user> <user> <user> <user> Absentee.  But Trump literally is trying to steal the election with USPS AND SCOTUS.  Lol, weird times",offensiveness detection,5,"0,0,0,0,0","Ann570,Ann334,Ann81,Ann173,Ann325",en,0,train,1.0,0.0,Elections2020
"<user> He could just STFU.  But no, George Floyd is taking attention away from him, so he let's out his racist self.",offensiveness detection,5,"0,0,0,1,1","Ann149,Ann292,Ann306,Ann328,Ann54",en,0,train,0.6,0.4,BLM
"<user> It’s time for you, Biden, to go to jail‼️‼️‼️🤬🤮🤮🤮🤮🤮🤮",offensiveness detection,5,"0,1,1,0,0","Ann370,Ann301,Ann779,Ann424,Ann573",en,0,train,0.6,0.4,Elections2020
<user> <user> <user> <user> Any voter who ud still undecided after 4 years of the trump family shit show is pretty much already a trump vote,offensiveness detection,5,"1,1,1,1,0","Ann102,Ann573,Ann223,Ann811,Ann334",en,1,train,0.2,0.8,Elections2020
San Andreas 2020,offensiveness detection,5,"0,0,0,0,0","Ann373,Ann443,Ann474,Ann209,Ann328",en,0,train,1.0,0.0,BLM
They got caught! <url>,offensiveness detection,5,"0,0,0,0,0","Ann740,Ann126,Ann582,Ann274,Ann248",en,0,train,1.0,0.0,BLM
The voices seem to be getting louder... the wording is interesting to say the least. <url>,offensiveness detection,5,"0,0,0,0,0","Ann306,Ann443,Ann419,Ann474,Ann708",en,0,train,1.0,0.0,BLM
Fascists want their populations purged. Coronavirus helps.,offensiveness detection,5,"1,0,1,0,0","Ann402,Ann741,Ann337,Ann581,Ann710",en,0,train,0.6,0.4,Covid-19
<user> That means count illegal votes!!!!?!,offensiveness detection,5,"0,0,0,0,0","Ann88,Ann85,Ann463,Ann779,Ann656",en,0,train,1.0,0.0,Elections2020
<user> <user> <user> How many of yall are going to copy and paste that? I love to see us trump supporters mad 😎,offensiveness detection,5,"0,0,0,1,0","Ann435,Ann682,Ann60,Ann779,Ann656",en,0,train,0.8,0.2,Elections2020
"<user> <user> <user> <user> Bullshit. Then why have they been training with terrorist groups. The ""non organized leadership"" thing is a method that they have taken on so they dont have problems like the groups in the 60's. Its thier strategy. Ask Bernadine why theWU failed.",offensiveness detection,5,"1,0,1,0,1","Ann779,Ann238,Ann88,Ann596,Ann723",en,1,train,0.4,0.6,Elections2020
"ANYONE feel ALL of this might be a set up?!  3 cops KNEELING on a man.   Everyone is going nuts from the pandemic, shut down, &amp; unemployment.  White supremacists in every city turning protests into riots.  Seems too scripted. #protests2020 #BlackLivesMatter #DestroyingAmerica",offensiveness detection,5,"0,0,0,0,0","Ann237,Ann731,Ann245,Ann781,Ann274",en,0,train,1.0,0.0,BLM
Seeing a bunch of dumbasses support racism on my social medias. Bunch of Y'all haven't played Wolfenstien and it fucking shows. #BlackLivesMatter #ACAB #FuckNazis,offensiveness detection,5,"1,1,1,1,1","Ann666,Ann138,Ann306,Ann149,Ann274",en,1,train,0.0,1.0,BLM
This was a complete train wreck.  <user> was all over the place and Chris Wallace sucked as a moderator.  Chris Wallace was clearly in the tank for Biden.  It was one of the worse debates I’ve ever seen.  #Trump2020,offensiveness detection,5,"0,1,0,1,0","Ann334,Ann64,Ann377,Ann779,Ann144",en,0,train,0.6,0.4,Elections2020
<user>  IT MAKES ALL LEOS LOOK BAD WHEN YOUNHAVE THESE KNUCKLEHEADS OUT HERE PLANTING BRICKS! <user>,offensiveness detection,5,"0,0,0,1,1","Ann138,Ann745,Ann274,Ann328,Ann701",en,0,train,0.6,0.4,BLM
"Get tested, pls. For Covid. For STIs. For stupidity. Just check on all your shit. ❤️",offensiveness detection,5,"0,1,1,1,1","Ann582,Ann517,Ann466,Ann681,Ann169",en,1,train,0.2,0.8,Covid-19
<user> Crook.   You are a disgrace to this country. What have you done in 47 years. NOTHING but filled you pockets with money to be paid off for favors. How can you ever say you represent the average American. Go home clown.,offensiveness detection,5,"1,1,1,1,1","Ann811,Ann64,Ann345,Ann149,Ann573",en,1,train,0.0,1.0,Elections2020
"<user> how about mandating COVID testing for all students and staff before they’re allowed to enter a school. You’ll get a shit ton of data, you’ll see what the % is of this population (currently missing from the data pool), and you’ll give infected folks 2 weeks to heal.",offensiveness detection,5,"0,1,0,0,0","Ann750,Ann681,Ann188,Ann522,Ann351",en,0,train,0.8,0.2,Covid-19
<user> <user> <user> <user> <user> Those are fcuking black people and thugs causing it. Not fcuking BLM or Democrats. NOT ALL BLACK PEOPLE REPRESENT BLM. Educate yourself first! Fox is trying to fcuking confuse you and its audience to make yourself believe that these black people are apart of BLM........,offensiveness detection,5,"1,1,1,1,1","Ann779,Ann408,Ann200,Ann448,Ann149",en,1,train,0.0,1.0,Elections2020
"It's incredible that stores are doing what our POTUS lacks the capacity to do. They have more concerns for the health &amp; wellbeing of Americans. Sadly, Trump &amp; some GOP governors where #COVID19 is ravaging residents &amp; medical facilities, don't give a shit.  <url>",offensiveness detection,5,"0,1,0,1,1","Ann47,Ann779,Ann466,Ann344,Ann390",en,1,train,0.4,0.6,Covid-19
I vow to to do everything I can to removed the traitor-in-chief from office. He is destroying this country &amp; every single thing we stand for. I promise to vote 4 <user> who I fully support. I vow to vote 4 down ballot Dems.I vow to stand up &amp; fight until he's gone.   #DemCast <url>,offensiveness detection,5,"1,0,0,1,0","Ann402,Ann783,Ann713,Ann379,Ann573",en,0,train,0.6,0.4,Elections2020
niggas gonna vote the covid away,offensiveness detection,5,"0,1,1,1,1","Ann768,Ann750,Ann188,Ann515,Ann538",en,1,train,0.2,0.8,Covid-19
"<user> <user> Funny how they fight immigrants and falsely say they steal jobs and kill people. Yet, they don’t fight covid that steals jobs and kills people.",offensiveness detection,5,"1,0,0,0,0","Ann779,Ann514,Ann546,Ann638,Ann358",en,0,train,0.8,0.2,Covid-19
"Fuck this guy. <user> is what happens when a salami gets hit with Gamma rays from a 4Chan comments section.   I say again, louder for the ones in the back, fuck this guy.   #BlackLivesMatter #BLMprotest",offensiveness detection,5,"1,1,1,1,1","Ann274,Ann149,Ann535,Ann443,Ann229",en,1,train,0.0,1.0,BLM
i said it once and i’ll say it again: stop attacking each other. your employer is the enemy for not paying you enough or giving you the benefits you deserve in this time. poor/unemployed people aren’t the enemy. capitalism is,offensiveness detection,5,"0,0,0,1,0","Ann200,Ann514,Ann266,Ann500,Ann718",en,0,train,0.8,0.2,Covid-19
<user> <user> <user> <user> <user> <user> Yeah alright nevermind the person is probably being satirical too(or at least I'd hope so),offensiveness detection,5,"0,0,0,0,0","Ann811,Ann334,Ann371,Ann779,Ann656",en,0,train,1.0,0.0,Elections2020
After the pause: Gov. Cuomo has started an urgent process to think about life after the coronavirus clampdown <url> <user>,offensiveness detection,5,"0,0,0,0,0","Ann344,Ann464,Ann805,Ann768,Ann763",en,0,train,1.0,0.0,Covid-19
"<user> <user> Total bullshit, he gave them a socialist check when he fucked the trade relationship with China. #densepence #fucktrump",offensiveness detection,5,"1,1,1,1,1","Ann334,Ann400,Ann149,Ann713,Ann379",en,1,train,0.0,1.0,Elections2020
"Black people be hella confusing, screaming #BlackLivesMatter but then are quick to tear down one and other 🥴",offensiveness detection,5,"1,0,1,0,0","Ann5,Ann582,Ann797,Ann274,Ann292",en,0,train,0.6,0.4,BLM
This is who the Jewish Community continues to Vote in Office. Jewish nation was duped by Hitler &amp; now Duped by Jew Hating Democrsts &amp; Hollywoof. So sad.  Bill de Blasio Condemned Jewish Funeral but Attended George Floyd Memorial with Thousands <url>,offensiveness detection,5,"0,1,1,1,0","Ann237,Ann551,Ann680,Ann225,Ann507",en,1,train,0.4,0.6,BLM
<user> I thought you were going to win this in a landslide,offensiveness detection,5,"0,0,1,0,0","Ann169,Ann425,Ann149,Ann596,Ann345",en,0,train,0.8,0.2,Elections2020
"Ah, shit here we go again. <url>",offensiveness detection,5,"0,0,0,0,1","Ann582,Ann195,Ann274,Ann248,Ann54",en,0,train,0.8,0.2,BLM
"<user> <user> I mean, with so many things closed, events cancelled, an everyone working from home or not working, I get where they are coming from. Every day is like a Sunday now, but worse, and it was common for people to call downtown a ghost town on Sunday before Covid-19 (NFL offseason).",offensiveness detection,5,"0,0,0,0,0","Ann582,Ann188,Ann357,Ann344,Ann768",en,0,train,1.0,0.0,Covid-19
#UEGWeek video: We talk to <user> about the SECURE-IBD registry analysis showing what patient characteristics and #immunosuppressants increase the risk for severe COVID-19 outcomes in patients with #IBD. <user> <user> <user> <url>,offensiveness detection,5,"0,0,0,0,0","Ann675,Ann200,Ann19,Ann710,Ann514",en,0,train,1.0,0.0,Covid-19
<user> <user> Punish these Negros like George Floyd..,offensiveness detection,5,"1,1,1,1,0","Ann274,Ann448,Ann209,Ann616,Ann117",en,1,train,0.2,0.8,BLM
"""🇨🇦 Moving forward key climate measures is how we'll rebuild a resilient Canada. Our ED <user> says, """"We need to reorient &amp; rebuild the energy sector with a focus on clean energy, and rebuild jobs that are stable, resilient and sustainable."""" <url> #cdnpoli""",offensiveness detection,5,"0,0,0,0,0","Ann814,Ann733,Ann679,Ann768,Ann681",en,0,train,1.0,0.0,Covid-19
<user> do you think they’ll try to deny that these aren’t the police ? Oooop trick question! #BlackLivesMatter,offensiveness detection,5,"0,0,0,0,1","Ann163,Ann126,Ann274,Ann328,Ann701",en,0,train,0.8,0.2,BLM
"<user> <user> the same old insult every time, come up with someone new, oh wait you don’t have nothing on him",offensiveness detection,5,"0,0,0,0,1","Ann779,Ann238,Ann377,Ann149,Ann60",en,0,train,0.8,0.2,Elections2020
This is nihilism. <url>,offensiveness detection,5,"0,0,0,0,0","Ann582,Ann301,Ann56,Ann681,Ann768",en,0,train,1.0,0.0,Covid-19
<user> Perhaps the most disturbing revelations in the many files on the Hunter Biden laptop is the family’s actions surrounding Hunter’s inappropriate and possibly criminal behavior with a certain minor. <url>,offensiveness detection,5,"0,0,0,0,0","Ann743,Ann425,Ann164,Ann53,Ann777",en,0,train,1.0,0.0,Elections2020
<user> We’re not recovering from #COVID19  thanks to <user> its kicking our ass,offensiveness detection,5,"1,0,0,0,1","Ann200,Ann669,Ann232,Ann390,Ann515",en,0,train,0.6,0.4,Covid-19
"<user> <user> <user> <user> Trivial like... extorting Ukraine, soliciting election interference from Russia and China, committing hundreds of emoluments violations, committing dozens of Hatch Act violations, creating a humanitarian crisis at the border, leading the world in Covid-19 deaths...",offensiveness detection,5,"0,0,0,0,0","Ann750,Ann681,Ann188,Ann763,Ann522",en,0,train,1.0,0.0,Covid-19
The police are bullies with weapons.  #PoliceBrutality #PoliceViolence #seattleprotests #PoliceBrutalityPandemic,offensiveness detection,5,"0,0,0,0,1","Ann138,Ann419,Ann29,Ann274,Ann701",en,0,train,0.8,0.2,BLM
"<user> What’s disgusting is departmental unprofessionalism, police brutality, and racisms that are swept under a rug yet expected to be forgiven. #PoliceThePolice: Take a stand against such hateful &amp; violent acts. #BlackLivesMatter",offensiveness detection,5,"0,0,0,0,0","Ann274,Ann306,Ann474,Ann138,Ann419",en,0,train,1.0,0.0,BLM
Now THAT'S RACISM!!!!! <url>,offensiveness detection,5,"1,1,1,0,0","Ann443,Ann708,Ann343,Ann306,Ann474",en,1,train,0.4,0.6,BLM
<user> Did you know George Floyd has a rap sheet and in prison for 5 yrs? <url>  How do we know he wasn't an informant &amp; this was a oligarch political conspiracy coup attempt set-up gone bad? <user>,offensiveness detection,5,"0,1,1,0,0","Ann443,Ann419,Ann571,Ann338,Ann708",en,0,train,0.6,0.4,BLM
Y’all... let’s make some real fucking change. ✊🏻✊🏼✊🏽✊🏾✊🏿 #BlackLivesMatter #PoliceBrutality #PoliceViolence #StopTheKillings #StopTheViolence #Police #Buffalo #buffalopolice #buffalopd #JusticeForGeorgeFloyd #JusticeforAhmaudArbery,offensiveness detection,5,"0,1,1,1,1","Ann29,Ann501,Ann274,Ann39,Ann708",en,1,train,0.2,0.8,BLM
<user> #MeToo. I voted for the other guy... who is it? Oh yeah! <user> <user>,offensiveness detection,5,"0,0,0,0,0","Ann779,Ann408,Ann517,Ann229,Ann334",en,0,train,1.0,0.0,Elections2020
Guilty,offensiveness detection,5,"0,0,0,0,0","Ann334,Ann400,Ann164,Ann420,Ann721",en,0,train,1.0,0.0,Elections2020
"Anaheim Mayor Harry Sidhu needs to be sent packing.  A Trump puppet who doesn’t care to protect his own community from a pandemic. As numbers continue to rise he should be showing leadership, instead he’s just pushing to open up more businesses.  #YouAboutToLoseYoJob <url>",offensiveness detection,5,"0,1,0,1,1","Ann729,Ann206,Ann605,Ann771,Ann408",en,1,train,0.4,0.6,Covid-19
Dammit Florida!! Florida Becomes Fifth State to Hit Grim COVID-19 Milestone: <url> via <user>,offensiveness detection,5,"1,0,0,0,0","Ann449,Ann47,Ann352,Ann558,Ann514",en,0,train,0.8,0.2,Covid-19
Health officials say Orange County COVID-19 testing is ‘skyrocketing’ as free rapid testing is set to arrive next week <url>,offensiveness detection,5,"0,0,0,0,0","Ann200,Ann514,Ann232,Ann240,Ann619",en,0,train,1.0,0.0,Covid-19
"<user> No, it’s a medical issue, remember. What the hell does patriotism have to do with the forceful usage of unnecessary garments.",offensiveness detection,5,"1,0,1,0,0","Ann425,Ann188,Ann793,Ann779,Ann721",en,0,train,0.6,0.4,Elections2020
"man shut the fuck up, niggas banned ye from the black community, complained when he didn’t speak up on issues in the black community now that he doing good for the black community it’s ANOTHER problem.",offensiveness detection,5,"1,1,1,1,1","Ann549,Ann30,Ann755,Ann569,Ann290",en,1,train,0.0,1.0,BLM
"<user> <user> At least he didn't look like a deflating, melting, orange icicle.  Trump looked like dehydrated Cheeto puffs. <url>",offensiveness detection,5,"0,0,1,0,1","Ann238,Ann334,Ann779,Ann573,Ann546",en,0,train,0.6,0.4,Elections2020
Imagine cutting the video in order to try and mislead on his FULL quote. #FakeNews,offensiveness detection,5,"0,0,0,0,0","Ann654,Ann209,Ann734,Ann39,Ann681",en,0,train,1.0,0.0,BLM
💥💥💥 Pompeo: President Trump ‘Committed’ to Holding China Accountable for the COVID-19 Virus   ⁦<user>  <url>,offensiveness detection,5,"0,1,0,0,0","Ann200,Ann675,Ann768,Ann136,Ann669",en,0,train,0.8,0.2,Covid-19
<user> I’m donating to #BlackLivesMatter <user> <user> IN <user> name. I’m doing my part in calling out RACIST. I’m donating to Black organizations for every racist I meet in their names. You could say I’m helping them make amends. You’re welcome Tucker!,offensiveness detection,5,"0,0,0,1,0","Ann149,Ann328,Ann419,Ann740,Ann451",en,0,train,0.8,0.2,BLM
"We are all going to die and anyone who has supported Trump, directly or indirectly, is responsible at least in part.",offensiveness detection,5,"0,0,1,0,0","Ann200,Ann514,Ann240,Ann558,Ann589",en,0,train,0.8,0.2,Covid-19
I HATE COMMIES!,offensiveness detection,5,"1,0,0,1,1","Ann779,Ann238,Ann149,Ann379,Ann381",en,1,train,0.4,0.6,Elections2020
Stupid and corrupt. What a combo.,offensiveness detection,5,"0,1,0,0,0","Ann484,Ann448,Ann639,Ann189,Ann184",en,0,train,0.8,0.2,Covid-19
"Coach <user> ‘s #BlackLivesMatter remarks were A+. He addressed current issues but most importantly, laid out a plan of ACTION the #Redskins organization is taking to support employees &amp; the black community. The culture is shifting. Video: <url> #HTTR <url>",offensiveness detection,5,"0,0,0,0,0","Ann30,Ann443,Ann419,Ann338,Ann708",en,0,train,1.0,0.0,BLM
"Y'all there are dumbass conservatives saying George Floyd murder was fake and that he actually died three years ago  I want the rapture, but just take all the dumb ass conservatives, and they get to heaven all excited, but then God laughs in their faces and they drop down to hell",offensiveness detection,5,"0,1,1,1,1","Ann598,Ann306,Ann428,Ann755,Ann474",en,1,train,0.2,0.8,BLM
<user> <user> <user> It doesn't matter what George Floyd's criminal record is. A badge isn't a license to kill.,offensiveness detection,5,"0,0,0,0,0","Ann423,Ann521,Ann364,Ann419,Ann428",en,0,train,1.0,0.0,BLM
"<user> <user> Nice doesn’t get the job done! Man is week &amp; greedy, he sold out us Americans to the Chinese &amp; UK for his own personal gain. How can one who pays taxes not have problem with that?",offensiveness detection,5,"0,0,0,1,0","Ann811,Ann524,Ann774,Ann379,Ann149",en,0,train,0.8,0.2,Elections2020
<user> <user> <user> This was not a George Floyd protest. It's really a RESIST RALLY. THATS  ALL THIS IS ABOUT! DEMOCRAT ORGANIZED!,offensiveness detection,5,"0,0,0,0,0","Ann368,Ann443,Ann338,Ann708,Ann736",en,0,train,1.0,0.0,BLM
That was a clean single leg🥵,offensiveness detection,5,"0,1,0,0,0","Ann632,Ann305,Ann65,Ann129,Ann802",en,0,train,0.8,0.2,BLM
<user> No thats Obama and you are the worst vice president.,offensiveness detection,5,"0,0,0,0,0","Ann82,Ann188,Ann702,Ann212,Ann610",en,0,train,1.0,0.0,Elections2020
